Ground,Span,Span_2,Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,
"Captain Roop Singh Stadium, Gwalior - India",1988-2010,22,12,12,0,0,5997,166,6898,36.12,5.21,
"Bourda, Georgetown, Guyana - West Indies",1988-2006,18,11,9,2,0,4754,141,5704,33.71,5,
"Bangabandhu National Stadium, Dhaka - Bangladesh",1988-2005,17,58,57,0,1,25337,814,31264,31.12,4.86,
"MA Aziz Stadium, Chittagong - Bangladesh",1988-2005,17,10,9,0,1,3598,144,5191,24.98,4.15,
"Indira Priyadarshini Stadium, Visakhapatnam - India",1988-2001,13,5,5,0,0,2497,72,2849,34.68,5.25,
"Brabourne Stadium, Mumbai - India",1989-2018,29,9,9,0,0,2956,133,4150,22.22,4.27,
"Nehru Stadium, Fatorda, Margao - India",1989-2007,18,7,6,0,1,2830,93,3662,30.43,4.63,
"K.D.Singh 'Babu' Stadium, Lucknow - India",1989-1989,0,1,1,0,0,432,16,596,27,4.34,
"Sports Stadium, Sargodha - Pakistan",1992-1992,0,1,1,0,0,312,8,461,39,4.06,
Rawalpindi Cricket Stadium - Pakistan,1992-2006,14,21,21,0,0,9083,282,11382,32.2,4.78,
"Pukekura Park, New Plymouth - New Zealand",1992-1992,0,1,1,0,0,625,11,596,56.81,6.29,
"Harrup Park, Mackay - Australia",1992-1992,0,1,0,0,1,1,0,2,-,3,
"Eastern Oval, Ballarat - Australia",1992-1992,0,1,1,0,0,454,16,564,28.37,4.82,
"Manuka Oval, Canberra - Australia",1992-2016,24,9,9,0,0,4902,130,4876,37.7,6.03,
Berri Oval - Australia,1992-1992,0,1,1,0,0,445,17,600,26.17,4.45,
"Lavington Sports Oval, Albury - Australia",1992-1992,0,1,1,0,0,259,20,572,12.95,2.71,
Harare Sports Club - Zimbabwe,1992-2019,27,151,149,1,1,63725,2193,81164,29.05,4.71,
Bulawayo Athletic Club - Zimbabwe,1992-2018,26,4,4,0,0,1596,62,2129,25.74,4.49,
"Newlands, Cape Town - South Africa",1992-2019,27,42,42,0,0,17716,648,22641,27.33,4.69,
"St George's Park, Port Elizabeth - South Africa",1992-2019,27,42,41,0,1,18008,613,23010,29.37,4.69,
"SuperSport Park, Centurion - South Africa",1992-2019,27,54,52,0,2,24205,756,27811,32.01,5.22,
"The Wanderers Stadium, Johannesburg - South Africa",1992-2019,27,48,48,0,0,21759,674,25284,32.28,5.16,
"Mangaung Oval, Bloemfontein - South Africa",1992-2018,26,29,27,1,1,12628,389,15225,32.46,4.97,
"Kingsmead, Durban - South Africa",1992-2019,27,46,40,1,5,19308,657,23884,29.38,4.85,
"Buffalo Park, East London - South Africa",1992-2017,25,22,22,0,0,9253,311,11967,29.75,4.63,
"Moin-ul-Haq Stadium, Patna - India",1993-1996,3,3,2,0,1,787,34,1241,23.14,3.8,
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh - India",1993-2019,26,25,25,0,0,12627,384,14180,32.88,5.34,
"Reliance Stadium, Vadodara - India",1994-2010,16,10,10,0,0,5057,125,5565,40.45,5.45,
"Singapore Cricket Club, Padang - Singapore",1996-1996,0,5,4,0,1,1907,72,2160,26.48,5.29,
"Toronto Cricket, Skating and Curling Club - Canada",1996-2011,15,30,29,0,1,11410,450,15177,25.35,4.51,
"Gymkhana Club Ground, Nairobi - Kenya",1996-2010,14,62,61,0,1,25384,925,32211,27.44,4.72,
Nairobi Club Ground - Kenya,1996-1996,0,1,1,0,0,339,18,496,18.83,4.1,
"Aga Khan Sports Club Ground, Nairobi - Kenya",1996-1997,1,4,4,0,0,1292,60,1917,21.53,4.04,
"Bugti Stadium, Quetta - Pakistan",1996-1996,0,1,1,0,0,476,16,595,29.75,4.8,
"Queens Sports Club, Bulawayo - Zimbabwe",1996-2018,22,80,74,3,3,34882,1092,41757,31.94,5.01,
"Boland Park, Paarl - South Africa",1997-2018,21,12,11,1,0,4944,182,6226,27.16,4.76,
"Willowmoore Park, Benoni - South Africa",1997-2016,19,21,20,0,1,8847,285,10486,31.04,5.06,
"Nehru Stadium, Kochi - India",1998-2014,16,9,9,0,0,4430,135,5030,32.81,5.28,
"Diamond Oval, Kimberley - South Africa",1998-2018,20,14,14,0,0,6092,178,7145,34.22,5.11,
Sheikhupura Stadium - Pakistan,1998-2008,10,2,2,0,0,791,27,1004,29.29,4.72,
"Owen Delany Park, Taupo - New Zealand",1999-2001,2,3,3,0,0,1353,40,1531,33.82,5.3,
"National Cricket Stadium, St George's, Grenada - West Indies",1999-2019,20,23,22,0,1,9926,293,11708,33.87,5.08,
"County Ground, Hove - England",1999-1999,0,1,1,0,0,507,11,584,46.09,5.2,
"St Lawrence Ground, Canterbury - England",1999-2005,6,4,4,0,0,1851,49,2321,37.77,4.78,
